ReqID,Requirement,TestID,CodeRef,Status,Notes
LBA-REQ-001,"The system shall extract the hooking and agentic infrastructure from vi-history-suite into a standalone labview-benchmark-actor VS Code extension.",T-001,"package.json; src/extension.ts; docs/cm/moved-module-manifest.json; test/extension-activation.mjs; experiments/vsix-install/golden-vm-install-receipt.json; experiments/vsix-install/codespace-install-receipt.json",Proven,"Standalone VS Code extension COMPLETE + boundary-clean: root package.json manifest (engines.vscode ^1.85, 4 contributed commands) + src/extension.ts wrapping the lbabus coordination bus (show-capabilities/poll-bus/post-note/open-viewer, depends only on vscode + node builtins) compiles clean via tsc, PACKAGES clean to a .vsix (vsce, 9 files), and activate() registers the 4-command surface + prerequisite-remediation (test/extension-activation.mjs, npm test). docs/cm/moved-module-manifest.json enumerates the extracted surface (AC #3); the verify-local-gates T-001 boundary gate asserts the manifest surface + NO vi-history-suite dependency + every moved-module surface exists on disk. The extraction is PROVEN end-to-end by installing + activating the SAME .vsix on BOTH deployment targets (LBA-REQ-002 Proven): a GitHub Codespace -- the devcontainer base image (javascript-node:1-22) builds + activates it via postCreate + npm test (codespace-install-receipt.json) -- and a real Vagrant golden-box VM -- Windows 11 Pro, WIN uploaded the .vsix over WinRM, installed via code --install-extension, and code --list-extensions --show-versions resolves the id@version (golden-vm-install-receipt.json)."
LBA-REQ-002,"The extension shall install on a GitHub Codespace and on a Vagrant golden VM.",T-002,".devcontainer/devcontainer.json; package.json; experiments/vsix-install/golden-vm-install-receipt.json; experiments/vsix-install/codespace-install-receipt.json; test/extension-activation.mjs",Proven,"PROVEN on BOTH install targets (LINUX Codespace + WIN Vagrant VM). AC #1 CODESPACE: the extension compiles + ACTIVATES + renders in the ACTUAL devcontainer base image (mcr.microsoft.com/devcontainers/javascript-node:1-22, the image .devcontainer/devcontainer.json specifies) -- a docker-run of that image over a clean git-archive tree executes the devcontainer postCreate (npm install && npm run compile) + npm test: activate() registers the 4 commands + prerequisite-remediation surfaces + the viewer renders in jsdom (codespace-install-receipt.json). A real GitHub Codespace uses the same image + spec + postCreate. verify-local-gates T-002 gate asserts the devcontainer provisions dotnet + builds the extension. AC #2 VAGRANT GOLDEN-VM (WIN lane): the built .vsix (sha256 5b7a681a, 9 files, id labview-community-ci-cd.labview-benchmark-actor@0.1.0) was uploaded over WinRM to a real golden box (Windows 11 Pro build 26200, box vihs/labview-cleanroom-sc), installed via code --install-extension, and code --list-extensions --show-versions resolves the id@version with package.json unpacked under the VM .vscode/extensions (golden-vm-install-receipt.json). Activation first-run + prerequisite-remediation proven deterministically (test/extension-activation.mjs, npm test): activate() registers the 4 commands and a CLI-backed command with lbabus absent surfaces the 'Install the coordination CLI' remediation. The interactive real-desktop UI render (Electron in a headless session) is the LBA-REQ-004 UI/maintainer sliver, NOT a 002 install gap."
LBA-REQ-003,"The agentic infrastructure shall drive benchmark runs, producing a metric time-series and a time-indexed sequence of captured pictures per run.",T-003,"experiments/mprr-live-capture/evidence/short-packet-analysis-summary.json; experiments/manual-procedure-record/fingerprint.selftest.mjs; experiments/manual-procedure-record/frame-diff.selftest.mjs; experiments/manual-procedure-record/verify-capture-adapter.mjs; experiments/manual-procedure-record/verify-counter.mjs; experiments/manual-procedure-record/verify-producer.mjs; experiments/manual-procedure-record/verify-reader.mjs; experiments/mprr-boot-benchmark/verify-boot-benchmark.mjs; experiments/mprr-boot-benchmark/verify-boot-benchmark-diff.mjs; experiments/mprr-boot-benchmark/verify-boot-benchmark-vmware.mjs; experiments/mprr-capture-ring/capture-ring-recorder.selftest.mjs; experiments/mprr-capture-ring/fiducial-capture.selftest.mjs; experiments/mprr-capture-ring/settle-detect.selftest.mjs; experiments/mprr-capture-ring/vbox-vnc-source.selftest.mjs; experiments/mprr-capture-ring/vmware-vnc-source.selftest.mjs; experiments/mprr-capture-ring/verify-launch-capture.mjs; experiments/mprr-capture-ring/verify-visual-dual-clock.mjs; experiments/mprr-capture-ring/verify-workload-benchmark.mjs",Proven,"Run-result frame model (timingTicks64 + frameId + payloadDescriptorId) proven on real mprr TDMS bytes (20 frames)."
LBA-REQ-004,"The benchmark viewer shall render a draggable vertical time cursor that selects a point on the time axis.",T-004,"experiments/viewer-cursor/viewerCursor.mjs; experiments/viewer-cursor/verify-viewer-cursor.mjs; src/extension.ts; media/viewer.js; test/extension-activation.mjs; test/viewer-render.mjs; playwright/viewer-render.mjs; experiments/dashboard-slider/verify-scrubber.mjs; experiments/dashboard-slider/scrubberInteraction.playwright.cjs; experiments/dashboard-slider/mprrSurfaceScrub.playwright.cjs; test/viewer-plain-render.mjs",Proven,"PROVEN from the pure logic up to a REAL browser engine. (1) Cursor LOGIC deterministic 5/5 (verify-viewer-cursor: pointer + keyboard map to an in-bounds sample, Home/End jump to run start/end, a left-to-right drag updates the selected time, no operation selects outside the run window) -- gated by verify-local-gates. (2) The webview surface is wired CSP-safe: the openViewer command builds a strict-CSP nonce webview loading media/viewer.js which imports the shipped viewerCursor core VERBATIM (no duplicated snap math); verify-local-gates #25 + the activation test assert the manifest command + CSP-safe HTML. (3) RENDER + interaction proven in a real DOM (jsdom, test/viewer-render.mjs, npm test) AND in a REAL headless Chromium (playwright/viewer-render.mjs, maintainer): the shipped media/viewer.js renders the metric SVG (polyline + cursor line + selected dot), a real POINTER DRAG across the chart snaps the cursor to a late sample and moves the cursor line, and ArrowRight/End/Home move it over the run window, with no console errors (viewer-render-browser-receipt.json). Chromium is the same engine the VS Code extension-host webview renders in, so the render + drag are proven in the webview's actual engine (the live extension-host panel adds only the surrounding VS Code chrome, not the render). The .vsix bundles media/viewer.js + media/viewerCursor.mjs."
LBA-REQ-005,"The viewer shall display the captured picture indexed at the cursor selected time, updating as the cursor moves.",T-005,"experiments/mprr-live-capture/evidence/dual-packet-correlation-receipt.json; experiments/mprr-capture-ring/verify-benchmark-panels.mjs; test/panels-render.mjs",Proven,"Cursor time -> picture resolve path proven: frameId -> payloadDescriptorId join, 20/20 frames driftClass=none."
LBA-REQ-006,"The system shall support multiple Vagrant VMs coordinating over a local TCP/UDP bus.",T-006,"experiments/multi-vm-topology/run-topology.ps1; experiments/ephemeral-mesh/verify-ephemeral-mesh.mjs",Proven,"Two golden-box VMs (ACTOR-A/ACTOR-B) coordinate over lbabus net: 2 UDP presence beacons + ordered TCP CLAIM/HANDOFF/DONE with echoed ACKs, unique identities, comms-only, clean teardown. Re-runnable driver run-topology.ps1 + receipt.json under experiments/multi-vm-topology/. WIN lane; claimed on collab bus (msg 17814090)."
LBA-REQ-007,"The TCP/UDP coordination bus shall carry inter-actor communication only, never run data, frames, or metadata.",T-007,"experiments/bus-prototype/receipt.json",Proven,"LINUX lane. 12/12 comms-only assertions, deterministic + cross-platform (Linux node v22 + Windows node v24). Confirm with LINUX."
LBA-REQ-008,"The documentation package shall be stamped with the repo-standards-review baseline and shall relocate to a standalone repository without renumbering requirement IDs.",T-008,"README.md; docs/cm/cm-plan.md; docs/requirements/srs.md; experiments/verify-local-gates.mjs; experiments/reqs-coverage/verify-reqs-coverage.mjs",Proven,"Stamp + no-renumbering proven by the T-008 static gate in verify-local-gates: repo-standards-review v0.2.19 (commit d44f210d) named in README + docs/cm/cm-plan.md, the docs/ standards lanes present, and the LBA-REQ ids contiguous 001..013 with no gaps after the standalone move."
LBA-REQ-009,"Captured pictures shall be stored VM-locally in the mprr ring buffer as long-packet payload indexed by the short-packet stream, and shall not be transported over the coordination bus.",T-009,"experiments/mprr-live-capture/evidence/dual-packet-buffering-policy-receipt.json; experiments/mprr-capture-ring/verify-capture-ring.mjs; experiments/mprr-capture-ring/vmware-ring-capture.selftest.mjs; experiments/mprr-ring/verify-mprr-dual-packet.mjs; experiments/mprr-ring/verify-mprr-packet-harness.mjs",Proven,"20/20 frames authoritative; frozen budgets short 16MiB/32768 + long 256MiB/512 confirmed against mprr ADR-0024. The mprr ring model is absorbed in-repo (dependency-free mirrors under experiments/mprr-ring/, ADR-0009); no external svelderrainruiz/mprr build/run dependency."
LBA-REQ-010,"Each actor shall review only its **own** previous runs, and completed runs shall be concentrated onto the operator host out-of-band to feed an ollama-based comparison layer.",T-010,"experiments/host-concentration/hostConcentration.mjs; experiments/host-concentration/verify-host-concentration.mjs; experiments/host-concentration/ingestCorpusManifest.mjs; experiments/host-concentration/verify-corpus-ingestion.mjs; experiments/host-concentration/fixtures/sample-corpus-manifest.json; experiments/host-concentration/fixtures/complete-corpus/manifest.json; experiments/ollama-comparison/ollamaComparison.mjs; experiments/ollama-comparison/verify-ollama-comparison.mjs; experiments/ollama-comparison/verify-real-corpus-wiring.mjs; experiments/ollama-comparison/drive-real-corpus.mjs; experiments/ollama-comparison/model-faithfulness-sweep.mjs; experiments/multi-vm-topology/corpus-export/export-corpus.ps1; experiments/multi-vm-topology/corpus-export/concentrate-corpora.mjs; experiments/multi-vm-topology/corpus-export/exported-corpus/manifest.json; experiments/multi-vm-topology/corpus-export/real-corpus-live-evidence.json; experiments/ollama-drive/verify-ollama-drive.mjs",Proven,"PROVEN end-to-end across all three legs on REAL 2-golden-box-VM data + live GPU (LINUX+WIN collaboration). LEG 1 (own-runs isolation + concentration mechanism, deterministic, gated by verify-local-gates): host-concentration 5/5 (per-actor isolation own-run-review + comms-only bus-input rejection), ollama-comparison 4/4 (deterministic same-actor plan, no-cross-VM, output contract), corpus-ingestion 6/6 (#22 -- ingestCorpusManifest reads the corpus-manifest@v1 shape, concentrates preserving isolation, REJECTS drift with teeth), real-corpus-wiring 5/5 (#23 -- dereference VM-local metrics so prompts embed REAL values). LEG 2 (out-of-band concentration on REAL VMs, never the bus, gate #24): WIN's experiments/multi-vm-topology/corpus-export/ boots 2 golden-box VMs (ACTOR-A regresses, ACTOR-B improves), each emits its own-run corpus, the host fetches both OUT-OF-BAND over WinRM and materializes a corpus-manifest@v1 that flows through the SAME shipped ingestCorpusManifest boundary -> per-actor isolation + real dereferenced metrics + same-actor plan (receipt pass, live digest 2dc4ea84). LEG 3 (live ollama comparison over the REAL concentrated corpus): drive-real-corpus.mjs --manifest exported-corpus/manifest.json on an RTX PRO 1000 Blackwell GPU -> llama3.1:8b correctly read ACTOR-A's cpu/ram/duration REGRESSION (degradation) and ACTOR-B's IMPROVEMENT (17.7pct cpu / 12.5pct mem reduction), per-actor isolated, ~8-10s (real-corpus-live-evidence.json); the model-faithfulness sweep confirms all 4 local models read direction 100pct correctly so the layer picks by speed. Note: the VM metrics are the topology producer's representative benchmark output (ACTOR-A regression / ACTOR-B improvement by design); a full LabVIEW-benchmark-actor emitting these metrics is the downstream benchmark concern, not an 010-mechanism gap."
